
40;19;7
44;14;5
48;12;6
52;16;11
56;18;14
60;23;15
64;19;16
68;28;18
72;25;14
76;31;8
80;29;3
84;36;11
88;35;13
92;37;11
96;40;13
100;39;19
104;41;15
108;27;23
112;47;25
116;39;9
120;51;14
124;59;6
128;50;10
132;51;14
136;56;15
140;64;19
144;61;10
148;62;26
152;57;16
156;58;17
160;61;17
164;60;23
168;69;16
172;67;9
176;69;14
180;69;14
184;67;25
188;85;14
192;76;20
196;84;18
200;77;15
